sample_id,image_path,reference_path,raw_ocr_path,corrected_ocr_path,source_url
015032c0-8cd9-4b22-a474-3118445cf022,../../train/images/015032c0-8cd9-4b22-a474-3118445cf022.jpg,../../references/015032c0-8cd9-4b22-a474-3118445cf022.txt,raw/015032c0-8cd9-4b22-a474-3118445cf022.txt,,https://huggingface.co/datasets/UkrainianCatholicUniversity/rukopys/blob/main/train/images/015032c0-8cd9-4b22-a474-3118445cf022.jpg
0287fd79-5e2b-43d2-bbc4-029ed0b9206f,../../train/images/0287fd79-5e2b-43d2-bbc4-029ed0b9206f.jpg,../../references/0287fd79-5e2b-43d2-bbc4-029ed0b9206f.txt,raw/0287fd79-5e2b-43d2-bbc4-029ed0b9206f.txt,,https://huggingface.co/datasets/UkrainianCatholicUniversity/rukopys/blob/main/train/images/0287fd79-5e2b-43d2-bbc4-029ed0b9206f.jpg
2392f282-19c9-446b-b743-092281a783d5,../../train/images/2392f282-19c9-446b-b743-092281a783d5.jpg,../../references/2392f282-19c9-446b-b743-092281a783d5.txt,raw/2392f282-19c9-446b-b743-092281a783d5.txt,,https://huggingface.co/datasets/UkrainianCatholicUniversity/rukopys/blob/main/train/images/2392f282-19c9-446b-b743-092281a783d5.jpg
23cbc409-0a74-4cd0-a211-1a6d655747a4,../../train/images/23cbc409-0a74-4cd0-a211-1a6d655747a4.jpg,../../references/23cbc409-0a74-4cd0-a211-1a6d655747a4.txt,raw/23cbc409-0a74-4cd0-a211-1a6d655747a4.txt,,https://huggingface.co/datasets/UkrainianCatholicUniversity/rukopys/blob/main/train/images/23cbc409-0a74-4cd0-a211-1a6d655747a4.jpg
3033749a-df7e-41e3-a2d2-1a1c6880fd68,../../train/images/3033749a-df7e-41e3-a2d2-1a1c6880fd68.jpg,../../references/3033749a-df7e-41e3-a2d2-1a1c6880fd68.txt,raw/3033749a-df7e-41e3-a2d2-1a1c6880fd68.txt,,https://huggingface.co/datasets/UkrainianCatholicUniversity/rukopys/blob/main/train/images/3033749a-df7e-41e3-a2d2-1a1c6880fd68.jpg
39d84e50-1f63-48e2-a5e8-8b2d95bbf805,../../train/images/39d84e50-1f63-48e2-a5e8-8b2d95bbf805.jpg,../../references/39d84e50-1f63-48e2-a5e8-8b2d95bbf805.txt,raw/39d84e50-1f63-48e2-a5e8-8b2d95bbf805.txt,,https://huggingface.co/datasets/UkrainianCatholicUniversity/rukopys/blob/main/train/images/39d84e50-1f63-48e2-a5e8-8b2d95bbf805.jpg
3b2a33c5-e8e3-44f3-910b-7c2ffa2409a0,../../train/images/3b2a33c5-e8e3-44f3-910b-7c2ffa2409a0.jpg,../../references/3b2a33c5-e8e3-44f3-910b-7c2ffa2409a0.txt,raw/3b2a33c5-e8e3-44f3-910b-7c2ffa2409a0.txt,,https://huggingface.co/datasets/UkrainianCatholicUniversity/rukopys/blob/main/train/images/3b2a33c5-e8e3-44f3-910b-7c2ffa2409a0.jpg
3dfc1873-9f9f-43a4-8fad-4d01eedcbb08,../../train/images/3dfc1873-9f9f-43a4-8fad-4d01eedcbb08.jpg,../../references/3dfc1873-9f9f-43a4-8fad-4d01eedcbb08.txt,raw/3dfc1873-9f9f-43a4-8fad-4d01eedcbb08.txt,,https://huggingface.co/datasets/UkrainianCatholicUniversity/rukopys/blob/main/train/images/3dfc1873-9f9f-43a4-8fad-4d01eedcbb08.jpg
86b4010b-2b26-43b0-8c8f-8f1a1b67f28f,../../train/images/86b4010b-2b26-43b0-8c8f-8f1a1b67f28f.jpg,../../references/86b4010b-2b26-43b0-8c8f-8f1a1b67f28f.txt,raw/86b4010b-2b26-43b0-8c8f-8f1a1b67f28f.txt,,https://huggingface.co/datasets/UkrainianCatholicUniversity/rukopys/blob/main/train/images/86b4010b-2b26-43b0-8c8f-8f1a1b67f28f.jpg
c30c3eba-5005-4a9b-9ebc-3c18d1d601d3,../../train/images/c30c3eba-5005-4a9b-9ebc-3c18d1d601d3.jpg,../../references/c30c3eba-5005-4a9b-9ebc-3c18d1d601d3.txt,raw/c30c3eba-5005-4a9b-9ebc-3c18d1d601d3.txt,,https://huggingface.co/datasets/UkrainianCatholicUniversity/rukopys/blob/main/train/images/c30c3eba-5005-4a9b-9ebc-3c18d1d601d3.jpg
