GeneID	NonTargeting_rep1	NonTargeting_rep2	p63KD_rep1	p63KD_rep2
DCTN2	5450	5493	4805	4767
DCTN3	1696	1590	1190	1192
DCTN4	4039	3689	3267	3175
DCTN5	6050	5733	5176	5275
DCTN6	1127	1103	1321	1273
DCTPP1	3172	3010	2349	2404
DCUN1D1	3526	3256	2944	2836
DCUN1D2	942	1048	972	868
DCUN1D3	240	233	214	193
DCUN1D4	1847	1884	1274	1265
DCUN1D5	4072	3856	2972	3041
DCX	0	0	2	1
DCXR	1810	1776	1678	1533
DDA1	2148	2084	2727	2614
DDAH1	3455	3324	3349	3431
DDAH2	1914	1735	2399	2451
DDB1	31413	29856	22938	22566
DDB2	7592	7452	2946	3115
DDC	0	2	2	0
DDHD1	1543	1524	1376	1355
DDHD2	2632	2608	2344	2324
DDI1	0	0	0	0
DDI2	351	329	288	287
DDIT3	420	367	485	387
DDIT4	27811	25250	14933	14401
DDIT4L	11	10	27	37
DDN	24	27	14	7
DDO	16	13	88	94
DDOST	9901	9589	13198	12446
DDR1	47484	47485	71824	66753
DDR2	11	8	11	10
DDRGK1	1589	1629	2841	2643
DDT	2030	1921	1949	1943
DDTL	102	101	90	74
DDX1	9803	9383	7702	7747
DDX10	2789	2562	1561	1595
DDX11	1889	1973	1080	953
DDX11-AS1	72	66	45	46
DDX11L1	0	0	0	0
DDX11L10	0	1	2	0
DDX11L16	0	0	0	0
DDX11L2	26	27	29	24
DDX11L5	0	1	0	0
DDX11L9	0	0	0	1
DDX12P	753	861	363	293
DDX17	22633	22346	23538	21188
DDX18	6318	6227	3906	3708
DDX19A	2699	2557	2302	2268
DDX19B	1604	1529	1246	1270
DDX20	1840	1717	1309	1337
DDX21	18045	17571	9561	9711
DDX23	7776	7668	5951	5819
DDX24	7128	6989	6634	6549
DDX25	2	0	0	0
DDX26B	542	524	180	173
DDX26B-AS1	0	2	1	0
DDX27	6936	6762	5651	5488
DDX28	1131	1022	978	906
DDX31	1209	1155	911	910
DDX39A	3618	3619	1410	1398
DDX39B	57	56	45	46
DDX3X	33322	32943	34006	33107
DDX3Y	0	0	0	0
DDX4	0	0	0	2
DDX41	3459	3241	2705	2634
DDX42	8282	8270	7212	6621
DDX43	0	0	2	0
DDX46	9104	9024	5820	5914
DDX47	4664	4707	6258	6287
DDX49	2239	2039	1772	1786
DDX5	34811	35125	39963	37571
DDX50	2834	2837	1662	1635
DDX51	1086	1126	884	802
DDX52	4440	4123	4079	3971
DDX53	0	0	1	0
DDX54	3776	3911	3202	3102
DDX55	1670	1620	1128	1001
DDX56	5877	5763	4573	4255
DDX58	1150	1060	1278	1136
DDX59	2134	2083	1826	1959
DDX6	15518	14790	14364	14418
DDX60	1196	1153	1537	1401
DDX60L	2254	2223	4610	4663
DEAF1	1036	983	895	863
DEAR	1	0	0	0
DEC1	0	0	0	1
DECR1	8223	7877	12737	13157
DECR2	490	434	448	433
DEDD	1484	1435	1254	1145
DEDD2	1176	1177	1276	1319
DEF6	1217	1092	581	546
DEF8	3356	3289	3771	3479
DEFA1	0	0	0	0
DEFA10P	0	0	0	0
DEFA11P	0	0	0	0
DEFA1B	0	0	0	0
DEFA3	0	0	0	0
DEFA4	0	0	0	0
DEFA5	0	0	0	0
DEFA6	0	0	0	0
DEFA8P	0	0	0	0
DEFA9P	0	0	0	0
DEFB1	350	282	49	81
DEFB103A	0	0	0	0
DEFB103B	0	0	0	0
DEFB104A	0	0	0	0
DEFB104B	0	0	0	0
DEFB105A	0	0	0	0
DEFB105B	0	0	0	0
DEFB106A	0	0	0	0
DEFB106B	0	0	0	0
DEFB107A	0	0	0	0
DEFB107B	0	0	0	0
DEFB108B	0	0	0	0
DEFB109P1	0	0	0	0
DEFB109P1B	0	0	0	0
DEFB110	0	0	0	0
DEFB112	0	0	0	0
DEFB113	0	0	0	0
DEFB114	0	0	0	0
DEFB115	0	0	0	0
DEFB116	0	0	0	0
DEFB118	0	0	0	0
DEFB119	0	0	0	0
DEFB121	0	0	0	0
DEFB122	0	0	0	0
DEFB123	0	0	0	0
DEFB124	0	0	0	0
DEFB125	0	0	0	0
DEFB126	1	0	1	0
DEFB127	0	0	0	0
DEFB128	0	0	0	0
DEFB129	0	0	0	0
DEFB130	0	0	0	0
DEFB131	0	0	0	0
DEFB132	0	0	0	0
DEFB133	0	0	0	0
DEFB134	0	0	0	0
DEFB135	0	0	0	0
DEFB136	0	0	0	0
DEFB4A	0	0	0	0
DEFB4B	0	0	0	0
DEFT1P	0	0	0	0
DEFT1P2	0	0	0	0
DEGS1	2870	2955	2875	2942
DEGS2	23	13	57	46
DEK	26552	25922	11050	11276
DENND1A	2981	3007	3308	3163
DENND1B	2690	2582	2834	2927
DENND1C	15	6	16	17
DENND2A	25	24	97	102
DENND2C	663	706	591	569
DENND2D	972	886	1319	1332
DENND3	2907	2814	1992	2039
DENND4A	3164	3054	1525	1537
DENND4B	2581	2488	2122	1889
DENND4C	4877	4530	4858	4666
DENND5A	1716	1654	1168	1071
DENND5B	1443	1383	2028	2003
DENND5B-AS1	5	5	9	8
DENND6A	3205	3069	2331	2305
DENND6B	301	337	434	371
DENR	7792	7485	5426	5422
DEPDC1	6363	6055	1313	1281
DEPDC1-AS1	16	13	4	3
DEPDC1B	3150	3027	636	664
DEPDC4	45	42	23	23
DEPDC5	1697	1592	1456	1407
DEPDC7	1610	1542	813	724
DEPTOR	87	78	134	108
DERA	2977	2842	2716	2643
DERL1	8775	8722	9847	9738
DERL2	1986	1955	2736	2664
DERL3	0	0	0	0
DES	3	0	2	0
DESI1	3711	3495	3305	3207
DESI2	4268	4133	2410	2447
DET1	377	374	365	369
DEXI	1009	1036	1215	1165
DFFA	1020	1020	801	768
DFFB	144	171	127	124
DFNA5	1900	1834	948	1004
DFNB31	2026	2193	3560	2937
DFNB59	209	248	377	331
DGAT1	4443	4207	6087	5591
DGAT2	332	288	602	521
DGAT2L6	1	0	0	0
DGCR10	0	1	0	0
DGCR11	67	68	93	87
DGCR14	884	869	795	744
DGCR2	6857	6671	7178	6801
DGCR5	100	100	304	281
DGCR6	504	487	572	539
DGCR6L	1221	1197	1137	1097
DGCR8	2575	2732	2438	2160
DGCR9	2	1	8	6
DGKA	4803	4706	3177	2961
DGKB	1	2	2	5
DGKD	1777	1929	3881	3647
DGKE	966	956	757	718
DGKG	0	1	0	0
DGKH	876	792	529	490
DGKI	0	1	4	4
DGKK	0	0	0	0
DGKQ	1155	1164	1537	1258
DGKZ	5009	4797	3013	2904
DGUOK	1860	1759	1302	1233
DGUOK-AS1	208	203	105	98
DHCR24	111374	104866	137614	128778
DHCR7	20810	20132	17288	16360
DHDDS	969	896	1184	1166
DHDH	1	5	3	3
DHFR	7943	7881	4003	3962
DHFRL1	383	385	459	418
DHH	1	0	1	0
DHODH	418	438	318	329
DHPS	1956	1949	1805	1874
DHRS1	1258	1239	1531	1472
DHRS11	404	413	376	443
DHRS12	759	770	911	892
DHRS13	1951	1882	1015	961
DHRS2	232	216	469	468
DHRS3	4197	3920	4268	3997
DHRS4	430	464	462	494
DHRS4-AS1	1000	910	693	725
DHRS4L1	20	20	25	26
DHRS4L2	423	443	409	421
DHRS7	4929	4751	5682	5553
DHRS7B	1561	1557	2510	2255
DHRS7C	0	0	0	0
DHRS9	6	3	2	6
DHRSX	0	0	0	0
DHTKD1	6803	6999	3250	3369
DHX15	13725	13566	9832	9689
DHX16	3905	3868	3630	3440
DHX29	4711	4670	4020	4149
DHX30	4664	4615	4479	4377
DHX32	4737	4760	5947	5660
DHX33	3919	3956	2282	2098
DHX34	1303	1269	1059	926
DHX35	1136	1110	986	908
DHX36	4033	3861	3433	3458
DHX37	1931	1821	1386	1314
DHX38	3565	3504	2778	2624
DHX40	2987	2658	2233	2235
DHX57	1841	1709	1234	1245
DHX58	77	53	143	116
DHX8	4207	4011	3465	3368
DHX9	22514	21851	14377	14041
DIABLO	2156	2140	2207	2142
DIAPH1	16769	16135	15123	14777
DIAPH2	1002	917	454	455
DIAPH3	6830	7123	2488	2574
DIAPH3-AS1	0	0	1	0
DIAPH3-AS2	0	0	0	0
DICER1	4134	4167	3442	3275
DICER1-AS1	141	142	173	163
DIDO1	6510	6325	5037	5043
DIEXF	1973	1948	1442	1331
DIMT1	1866	1755	1244	1201
DIO1	22	37	6	5
DIO2	1272	1324	1323	1268
DIO2-AS1	0	0	0	0
DIO3	3	4	16	9
DIO3OS	0	0	1	2
DIP2A	2696	2508	1951	1846
DIP2A-IT1	3	4	1	7
DIP2B	4729	4317	3320	3244
DIP2C	1829	1811	2591	2532
DIRAS1	19	8	23	8
DIRAS2	0	0	0	0
DIRAS3	4	7	4	8
DIRC1	0	0	0	0
DIRC2	3925	3628	4393	4192
DIRC3	64	57	163	160
DIS3	6101	5888	5524	5509
DIS3L	3055	3054	2729	2727
DIS3L2	1618	1504	1443	1407
DISC1	3	2	3	5
DISC1FP1	0	0	0	0
DISC2	0	0	0	1
DISP1	437	403	429	421
DISP2	20	28	23	25
DIXDC1	657	576	470	514
DKC1	5442	5291	2580	2497
DKFZP434A062	0	0	0	0
DKFZP434H168	0	0	0	0
DKFZP434I0714	233	271	126	136
DKFZP434K028	0	1	0	0
DKFZP434L187	0	0	0	1
DKFZP586I1420	616	626	698	651
DKFZp434J0226	195	208	300	260
DKFZp434L192	0	0	0	0
DKFZp451B082	0	0	0	0
DKFZp686K1684	2	2	1	1
DKFZp779M0652	1	0	0	1
DKK1	6116	6284	11637	11560
DKK2	0	0	0	0
DKK3	795	815	1647	1667
DKK4	1	0	0	1
DKKL1	2	0	1	0
DLAT	12302	11645	12060	11978
DLC1	423	421	292	314
DLD	13553	13001	17066	16931
DLEC1	3	4	4	4
DLEU1	1210	1096	685	684
DLEU2	206	195	120	115
DLEU2L	98	89	27	40
DLEU7	0	0	0	0
DLEU7-AS1	8	9	11	2
DLG1	8259	7681	5934	5797
DLG1-AS1	23	17	10	10
DLG2	26	25	16	18
DLG3	3230	2966	3267	3311
DLG3-AS1	4	1	3	4
DLG4	163	166	231	185
DLG5	11147	10138	8356	7800
DLG5-AS1	106	89	77	50
DLGAP1	1	1	1	4
DLGAP1-AS1	576	568	1092	1030
DLGAP1-AS2	125	121	207	192
DLGAP1-AS3	0	0	0	0
DLGAP1-AS4	1	0	0	0
DLGAP1-AS5	0	0	0	0
DLGAP2	1	2	0	3
DLGAP2-AS1	0	0	0	0
DLGAP3	10	10	15	10
DLGAP4	2961	2884	3758	3507
DLGAP5	9611	8922	1643	1737
DLK1	0	0	0	1
DLK2	686	642	81	84
DLL1	1538	1537	345	353
DLL3	0	0	0	3
DLL4	13	13	64	48
DLST	7640	7188	9377	9048
DLX1	57	66	37	32
DLX2	15	20	29	16
DLX3	169	200	118	104
DLX4	286	246	296	317
DLX5	1	0	2	0
DLX6	0	0	0	0
DLX6-AS1	1	0	0	1
DMAP1	1047	1073	990	903
DMBT1	355	295	418	396
DMBT1P1	0	1	0	0
DMBX1	199	225	88	81
DMC1	99	103	73	71
DMD	925	983	658	666
DMGDH	4	3	8	4
DMKN	3388	3244	3140	3176
DMP1	0	1	1	3
DMPK	3961	4125	5201	4856
DMRT1	0	0	1	0
DMRT2	5	5	2	2
DMRT3	0	0	0	0
DMRTA1	8	5	7	7
DMRTA2	667	700	654	670
DMRTB1	0	0	0	0
DMRTC1	0	0	0	0
DMRTC1B	0	0	0	0
DMRTC2	0	0	0	0
DMTF1	2000	2175	1937	1800
DMTN	915	903	912	914
DMWD	1659	1707	1614	1405
DMXL1	3628	3181	3170	3049
DMXL2	2323	2174	2172	2142
DNA2	1458	1545	554	629
DNAAF1	6	4	8	7
DNAAF2	1076	1045	958	904
DNAAF3	179	221	202	158
DNAH1	337	300	410	394
DNAH10	4	5	12	5
DNAH11	11	16	9	17
DNAH12	4	1	3	2
DNAH14	295	259	222	199
DNAH17	9	7	18	26
DNAH17-AS1	0	1	0	0
DNAH2	115	92	105	107
DNAH3	32	37	34	37
DNAH5	215	206	278	272
DNAH6	17	15	6	7
DNAH7	43	42	77	102
DNAH8	0	0	0	1
DNAH9	0	2	1	0
DNAI1	12	5	1	4
DNAI2	0	0	0	0
DNAJA1	16775	16031	19205	19210
DNAJA1P5	0	0	0	0
DNAJA2	6581	6056	6077	5971
DNAJA3	4766	4553	3994	3969
DNAJA4	4932	4825	5697	5573
DNAJB1	8302	8209	7576	7350
DNAJB11	4614	4634	6432	6124
DNAJB12	3384	3310	4199	4063
DNAJB13	8	2	6	2
DNAJB14	3168	3061	3468	3266
DNAJB2	10948	10538	10643	10422
DNAJB3	0	0	0	0
DNAJB4	1252	1192	898	888
DNAJB5	180	177	188	186
DNAJB5-AS1	0	0	3	1
DNAJB6	6715	6230	6530	6443
DNAJB7	0	0	0	1
DNAJB8	0	0	0	0
DNAJB8-AS1	0	0	0	0
DNAJB9	1223	1280	2852	2721
DNAJC1	1878	1797	2331	2365
DNAJC10	10665	10049	10536	10326
DNAJC11	2061	2058	2128	1976
DNAJC12	3	14	44	39
DNAJC13	6203	5849	6045	6104
DNAJC14	3662	3525	3164	2985
DNAJC15	6637	6472	7100	7427
DNAJC16	971	849	1137	1178
DNAJC17	529	515	415	355
DNAJC18	514	464	486	477
DNAJC19	1465	1400	1360	1357
DNAJC2	2103	1999	1710	1697
DNAJC21	8069	7869	5719	5856
DNAJC22	47	32	37	29
DNAJC24	871	874	689	663
DNAJC25	599	525	615	640
DNAJC25-GNG10	0	2	3	1
DNAJC27	550	461	490	465
DNAJC27-AS1	20	19	13	13
DNAJC28	70	77	114	82
DNAJC3	6363	6206	9986	9637
DNAJC30	756	725	857	866
DNAJC4	1637	1667	3235	3068
DNAJC5	8276	7963	10009	9554
DNAJC5B	0	0	0	1
DNAJC5G	0	0	0	1
DNAJC6	1461	1484	1745	1791
DNAJC7	4761	4653	4119	4247
DNAJC8	3443	3086	2262	2372
DNAJC9	4657	4803	2871	2899
DNAJC9-AS1	11	10	5	5
DNAL1	584	578	702	675
DNAL4	628	528	712	704
DNALI1	0	1	0	1
DNASE1	282	230	575	504
DNASE1L1	1761	1729	2553	2325
DNASE1L2	70	59	67	51
DNASE1L3	74	82	32	38
DNASE2	4853	4616	7135	6829
DNASE2B	1	0	3	2
DND1	53	47	40	26
DNER	90	90	227	268
DNHD1	1160	1230	1469	1304
DNLZ	130	106	101	110
DNM1	65	78	36	26
DNM1L	6684	6316	4942	4685
DNM1P35	30	33	17	10
DNM1P41	16	15	8	9
DNM1P46	0	0	0	0
DNM2	6654	6438	6537	6320
DNM3	205	166	216	225
DNM3OS	0	1	5	2
DNMBP	1003	943	1207	1269
DNMBP-AS1	1	2	3	0
DNMT1	7011	6760	3636	3473
DNMT3A	347	334	444	390
DNMT3B	1287	1295	524	460
DNMT3L	1	0	0	1
DNPEP	3449	3362	3815	3659
DNPH1	2592	2648	2544	2610
DNTT	0	2	1	0
DNTTIP1	1411	1372	1073	1107
DNTTIP2	4821	4675	3878	3788
DOC2A	164	214	438	379
DOC2B	0	0	0	0
DOC2GP	8	5	8	6
DOCK1	2057	2080	2807	2587
DOCK10	21	17	37	29
DOCK11	110	100	222	193
DOCK2	6	5	8	7
DOCK3	847	880	867	840
DOCK4	387	345	446	429
DOCK4-AS1	0	0	0	0
DOCK5	3469	3503	4254	4149
DOCK6	949	954	945	859
DOCK7	3161	2953	2476	2489
DOCK8	2680	2362	5335	5209
DOCK9	3759	3615	4583	4401
DOCK9-AS1	0	0	0	0
DOCK9-AS2	30	49	45	38
DOHH	495	540	490	467
DOK1	116	130	76	63
DOK2	1	0	1	0
DOK3	184	154	181	142
DOK4	482	448	656	643
DOK5	0	0	1	0
DOK6	0	0	0	0
DOK7	901	849	542	550
DOLK	1669	1681	2216	1973
DOLPP1	1059	1024	764	737
DONSON	3594	3446	2220	2211
DOPEY1	2698	2607	2594	2427
DOPEY2	1364	1257	2863	2746
DOT1L	2522	2679	2690	2349
DPAGT1	5329	5097	4960	4501
DPCD	507	474	477	474
DPCR1	30	39	11	12
DPEP1	1	3	4	3
DPEP2	3	1	20	15
DPEP3	0	1	3	1
DPF1	12	19	9	11
DPF2	3030	2895	2658	2342
DPF3	27	9	16	18
DPH1	1033	974	870	780
DPH2	2061	2110	1874	1738
DPH3	1003	1020	933	929
DPH3P1	0	1	0	0
DPH5	1688	1550	1211	1195
DPH6	762	647	394	405
DPH6-AS1	14	17	41	42
DPH7	1041	962	902	784
DPM1	5405	5269	4870	5006
DPM2	1626	1641	1553	1454
DPM3	431	441	568	561
DPP10	0	0	0	0
DPP10-AS1	0	0	0	0
DPP3	5613	5328	6241	6096
DPP4	6	2	33	48
DPP6	694	633	130	132
DPP7	3563	3489	5416	5044
DPP8	2252	2161	2313	2207
DPP9	4319	4182	3626	3495
DPPA2	0	0	0	0
DPPA2P3	2	0	0	0
DPPA3	0	0	0	0
DPPA4	0	0	0	1
DPPA5	0	0	0	0
DPRX	0	0	0	0
DPRXP4	17	11	11	11
DPT	0	0	0	0
DPY19L1	4712	4451	3251	3142
DPY19L1P1	167	198	175	132
DPY19L2	11	7	7	8
DPY19L2P1	0	0	0	2
DPY19L2P2	2	5	3	0
DPY19L2P3	35	30	22	21
DPY19L2P4	0	0	0	0
DPY19L3	627	653	679	633
DPY19L4	5003	4711	3777	3583
DPY30	2129	2273	1823	1912
DPYD	375	378	483	462
DPYD-AS1	0	0	0	0
DPYD-AS2	0	0	0	0
DPYS	2	0	7	2
DPYSL2	441	498	416	389
DPYSL3	1	0	2	6
DPYSL4	62	67	9	21
DPYSL5	0	0	0	0
DQX1	193	178	79	62
DR1	5138	4684	3442	3477
DRAM1	4989	4894	3201	3347
DRAM2	3901	3743	5156	5051
DRAP1	2336	2271	2106	2056
DRAXIN	0	0	0	0
DRC1	0	0	0	2
DRD1	0	0	0	0
DRD2	7	6	1	1
DRD3	0	0	0	0
DRD4	3	0	5	3
DRD5	0	0	0	0
DRD5P2	0	0	0	0
DRG1	3772	3503	3140	3180
DRG2	1410	1423	1117	1087
DRGX	0	0	0	0
DRICH1	16	16	23	20
DROSHA	9118	9373	6492	6227
DRP2	17	15	30	45
DSC1	3	3	3	6
DSC2	4051	3733	4284	4169
DSC3	1203	1118	144	137
DSCAM	194	139	133	128
DSCAM-AS1	5	6	26	20
DSCAM-IT1	0	0	0	0
DSCAML1	4	9	4	8
DSCC1	2434	2397	865	884
DSCR10	0	0	0	0
DSCR3	3043	3029	3063	3025
DSCR4	0	0	0	0
DSCR8	1	0	1	2
DSCR9	2	9	3	3
DSE	10522	10057	5861	5818
DSEL	156	164	250	233
DSG1	10	12	8	8
DSG2	26637	25157	27136	26104
DSG3	7342	6882	1509	1501
DSG4	0	0	0	1
DSN1	2744	2749	1411	1394
DSP	93196	81971	43341	43360
DSPP	0	0	0	0
DST	39974	39144	44851	43470
DSTN	18288	17580	18215	18972
DSTNP2	144	162	114	118
DSTYK	2379	2147	1930	1785
DTD1	937	868	611	604
DTD2	1783	1690	1509	1596
DTHD1	0	0	0	0
DTL	1984	2038	1022	1029
DTNA	0	0	2	0
DTNB	904	883	1083	1083
DTNBP1	1058	959	911	792
DTWD1	2287	2172	1256	1230
DTWD2	1000	911	993	1059
DTX1	0	0	0	0
DTX2	4066	3861	2875	2574
DTX2P1-UPK3BP1-PMS2P11	86	100	69	73
DTX3	214	233	324	298
DTX3L	5807	5283	5350	5137
DTX4	10301	9847	9352	8628
DTYMK	2399	2378	991	1038
DUOX1	3525	3426	1830	1716
DUOX2	435	382	256	276
DUOXA1	983	947	512	543
DUOXA2	0	0	0	0
DUPD1	0	0	0	0
DUS1L	3211	3307	2934	2853
DUS2	1053	983	1001	944
DUS3L	1019	1134	731	645
DUS4L	777	738	585	643
DUSP1	3230	3363	8187	7853
DUSP10	172	137	210	173
DUSP11	2028	2028	1189	1211
DUSP12	1003	1000	677	642
DUSP13	24	38	3	4
DUSP14	2077	2036	1182	1205
DUSP15	3	3	9	9
DUSP16	6932	6528	11627	11042
DUSP18	282	270	205	180
DUSP19	99	77	82	85
DUSP2	0	2	0	0
DUSP21	0	0	0	0
DUSP22	1220	1124	1409	1305
DUSP23	591	598	818	746
DUSP26	1	0	3	1
DUSP27	1	1	1	7
DUSP28	112	120	155	131
DUSP3	4485	4409	5238	5242
DUSP4	2716	2664	14918	14460
DUSP5	401	425	658	610
DUSP5P1	7	13	7	6
DUSP6	17	20	29	37
DUSP7	1242	1270	715	688
DUSP8	675	733	1186	1189
DUSP9	669	599	266	247
DUT	5802	5631	3320	3201
DUX2	0	0	0	0
DUX4	0	0	0	0
DUX4L	0	0	0	0
DUX4L2	0	0	0	0
DUX4L3	0	0	0	0
DUX4L4	0	0	0	0
DUX4L5	0	0	0	0
DUX4L6	0	0	0	0
DUX4L7	0	0	0	0
DUXA	1	0	1	0
DUXAP10	161	150	130	123
DVL1	1555	1563	1567	1525
DVL2	1973	2036	1508	1480
DVL3	5486	5476	5713	5387
DXO	1327	1263	1079	984
DYDC1	0	1	0	0
DYDC2	1	0	0	0
DYM	2565	2638	1732	1691
DYNAP	0	0	0	0
DYNC1H1	24487	21802	18465	19152
DYNC1I1	17	12	14	7
DYNC1I2	7993	7686	7421	7244
DYNC1LI1	2383	2409	2213	2210
DYNC1LI2	6472	6719	7016	6557
DYNC2H1	1759	1451	666	684
DYNC2LI1	1051	928	1030	1082
DYNLL1	10835	10475	9380	9520
DYNLL1-AS1	1101	933	696	723
DYNLL2	4978	4967	5176	5168
DYNLRB1	3614	3514	4221	4192
DYNLRB2	17	11	22	19
DYNLT1	2440	2359	2467	2469
DYNLT3	2102	1984	2937	3115
DYRK1A	4201	4229	5159	4932
DYRK1B	519	511	576	548
DYRK2	1888	1675	1617	1532
DYRK3	422	489	434	401
DYRK4	836	844	711	657
DYSF	1527	1526	3612	3575
DYTN	0	0	0	0
DYX1C1	30	21	45	47
DYX1C1-CCPG1	0	0	1	0
DZANK1	47	61	67	59
DZIP1	74	100	34	38
DZIP1L	173	180	171	162
DZIP3	1021	1145	1085	1020
E2F1	1423	1520	1352	1328
E2F2	569	606	326	386
E2F3	2456	2409	2230	2074
E2F4	2627	2558	2114	1805
E2F5	766	737	645	642
E2F6	929	912	838	837
E2F7	1877	1928	653	684
E2F8	1596	1595	711	650
E4F1	1251	1172	987	940
EAF1	2466	2331	2429	2396
EAF2	135	139	121	139
EAPP	1895	1873	1943	1919
EARS2	2752	2612	2529	2601
EBAG9	2890	2728	2898	2996
EBF1	10	13	10	9
EBF2	0	0	0	0
EBF3	0	0	0	0
EBF4	13	17	24	22
EBI3	4	2	5	3
EBLN1	0	0	0	0
EBLN2	83	68	66	78
EBNA1BP2	5872	5821	3953	3947
EBP	6205	6064	5803	5672
EBPL	2574	2476	1876	1803
ECD	2086	2017	1721	1686
ECE1	2672	2564	3541	3371
ECE2	647	601	481	463
ECEL1	0	0	0	0
ECEL1P2	2	5	2	1
ECH1	6706	6199	7207	7059
ECHDC1	4955	4715	5758	5882
ECHDC2	1449	1524	1576	1518
ECHDC3	817	725	840	860
ECHS1	6508	6386	7643	7580
ECI1	2929	2747	2878	2908
ECI2	4061	4011	3339	3402
ECM1	971	984	5378	5004
ECM2	22	30	9	5
ECRP	0	0	0	0
ECSCR	0	0	12	17
ECSIT	1197	1177	1038	933
ECT2	11607	11118	4834	4739
ECT2L	139	141	577	535
EDA	205	209	243	245
EDA2R	2125	2152	1111	1036
EDAR	202	207	37	31
EDARADD	573	530	193	157
EDC3	3532	3304	2835	2770
EDC4	3636	3498	3026	2740
EDDM3A	0	0	0	0
EDDM3B	0	0	0	0
EDEM1	6331	6118	4986	4906
EDEM2	2679	2601	3812	3593
EDEM3	5216	5036	6726	6489
EDF1	5302	5187	5477	5471
EDIL3	863	806	606	651
EDN1	1160	1174	1876	2024
EDN2	47	36	95	76
EDN3	0	0	0	0
EDNRA	115	110	289	249
EDNRB	0	0	0	1
EDNRB-AS1	1	1	0	0
EDRF1	1239	1302	1148	1070
EEA1	3358	3207	1836	1840
EED	2002	1909	1760	1758
EEF1A1	784593	725712	518673	513638
EEF1A2	8	4	0	12
EEF1B2	25484	24701	13481	13622
EEF1D	26485	24934	22433	22260
EEF1DP3	2	4	7	7
EEF1E1	1695	1573	1052	1084
EEF1E1-BLOC1S5	0	0	0	0
EEF1G	127787	118105	78190	78483
EEF2	116520	110214	79942	79538
EEF2K	2231	2019	1713	1599
EEFSEC	1513	1495	1106	1082
EEPD1	83	78	50	63
EFCAB1	9	9	3	3
EFCAB10	1	1	0	1
EFCAB11	733	685	611	625
EFCAB12	4	2	8	1
EFCAB13	41	33	59	54
EFCAB14	10081	9476	11418	11076
EFCAB14-AS1	0	0	0	0
EFCAB2	497	511	516	489
EFCAB3	9	3	8	4
EFCAB4A	847	872	2193	1918
EFCAB4B	356	288	171	159
EFCAB5	18	13	17	15
EFCAB6	20	30	52	44
EFCAB6-AS1	0	0	0	0
EFCAB7	446	440	282	287
EFCAB9	0	0	0	1
EFCC1	5	2	26	16
EFEMP1	22064	20975	23539	23115
EFEMP2	239	276	490	412
EFHB	1	2	8	6
EFHC1	1439	1466	1579	1406
EFHC2	8	11	18	16
EFHD1	8	4	10	7
EFHD2	3476	3177	2266	2281
EFNA1	8733	8708	29802	27611
EFNA2	3	2	11	5
EFNA3	467	486	1392	1317
EFNA4	382	355	592	575
EFNA5	518	503	969	877
EFNB1	1457	1351	492	468
EFNB2	286	282	135	154
EFNB3	344	350	393	349
EFR3A	10756	9833	10083	9860
EFR3B	196	177	482	452
EFS	0	1	1	0
EFTUD1	3415	3333	3015	3032
EFTUD1P1	1	2	1	3
EFTUD2	7856	7712	5379	5389
EGF	110	92	247	231
EGFEM1P	1	1	3	0
EGFL6	20	17	2	2
EGFL7	419	375	765	765
EGFL8	14	15	17	8
EGFLAM	1285	1072	590	587
EGFLAM-AS2	0	0	0	1
EGFLAM-AS4	0	0	0	0
EGFR	10931	9921	5370	5270
EGFR-AS1	0	0	1	0
EGLN1	4601	4259	5292	5085
EGLN2	86	99	152	144
EGLN3	518	509	360	316
EGOT	0	3	0	0
EGR1	480	539	204	182
EGR2	4	8	2	1
EGR3	0	1	1	2
EGR4	1	3	3	3
EHBP1	8728	8244	4782	4695
EHBP1L1	4909	4852	4862	4327
EHD1	6959	7116	12968	12793
EHD2	4304	4024	1482	1371
EHD3	111	115	93	93
EHD4	3291	3133	2898	2856
EHF	12456	11362	9502	9218
EHHADH	1617	1469	1453	1426
EHHADH-AS1	0	0	0	0
EHMT1	3027	3108	2866	2653
EHMT1-IT1	0	2	0	1
EHMT2	5223	5009	4160	3867
EI24	26878	26500	17357	17036
EID1	9657	9006	8420	8557
EID2	1147	1116	970	1024
EID2B	78	86	48	49
EID3	10	7	7	5
EIF1	19275	18613	16657	16600
EIF1AD	1644	1624	1550	1558
EIF1AX	14520	14029	8786	8815
EIF1AX-AS1	0	0	0	0
EIF1AY	0	0	0	0
EIF1B	1498	1399	1178	1291
EIF1B-AS1	32	31	35	32
EIF2A	7218	6762	4659	4737
EIF2AK1	19346	18504	19283	18806
EIF2AK2	2848	2640	2091	2048
EIF2AK3	2559	2433	4046	3837
EIF2AK4	4258	4226	2979	2892
EIF2B1	2764	2721	1819	1736
EIF2B2	1991	1895	1527	1477
EIF2B3	1304	1257	1024	1011
EIF2B4	1604	1472	1466	1368
EIF2B5	3664	3502	3080	2913
EIF2D	2427	2306	1757	1708
EIF2S1	7548	7448	5359	5552
EIF2S2	22648	22274	17020	17116
EIF2S3	37138	36762	45695	45465
EIF3A	21665	20452	18413	18345
EIF3B	19288	18720	13378	13311
EIF3C	7	8	3	3
EIF3CL	0	0	0	0
EIF3D	11391	10416	7647	7608
EIF3E	26437	24246	15072	15705
EIF3F	10981	10682	7835	7555
EIF3G	4277	4305	3703	3664
